Tiempo_ms,Original,Demodulada
0.000000000000000000e+00,1.000000000000000000e+00,8.105710744107592625e-01
1.000000000000000021e-03,9.980267284282715590e-01,8.103535245879636140e-01
2.000000000000000042e-03,9.921147013144778759e-01,8.071180276037994705e-01
3.000000000000000062e-03,9.822872507286887211e-01,8.006423548801181456e-01
4.000000000000000083e-03,9.685831611286310761e-01,7.909343322143287391e-01
5.000000000000000104e-03,9.510565162951535312e-01,7.784213471884950941e-01
6.000000000000000125e-03,9.297764858882513472e-01,7.628908483315738343e-01
7.000000000000000146e-03,9.048270524660195768e-01,7.445538988820737947e-01
8.000000000000000167e-03,8.763066800438635839e-01,7.231975684214901889e-01
9.000000000000001055e-03,8.443279255020150753e-01,6.994639007017154908e-01
1.000000000000000021e-02,8.090169943749473402e-01,6.731446222153688597e-01
1.099999999999999936e-02,7.705132427757892533e-01,6.440183041704843347e-01
1.200000000000000025e-02,7.289686274214115524e-01,6.125185085551512199e-01
1.299999999999999940e-02,6.845471059286887261e-01,5.784322385110665099e-01
1.400000000000000029e-02,6.374239897486897455e-01,5.424061641292691194e-01
1.500000000000000118e-02,5.877852522924731371e-01,5.042243203601672885e-01
1.600000000000000033e-02,5.358267949789965456e-01,4.638846682830944923e-01
1.700000000000000122e-02,4.817536741017153235e-01,4.218227903170408410e-01
1.800000000000000211e-02,4.257792915650726595e-01,3.782482433672104127e-01
1.899999999999999953e-02,3.681245526846778637e-01,3.329509024835026754e-01
2.000000000000000042e-02,3.090169943749472847e-01,2.863639135113830170e-01
2.099999999999999784e-02,2.486898871648549614e-01,2.384807558998806587e-01
2.199999999999999872e-02,1.873813145857247398e-01,1.897377267338463680e-01
2.299999999999999961e-02,1.253332335643042583e-01,1.403473986542978225e-01
2.400000000000000050e-02,6.279051952931330449e-02,9.009838168768158351e-02
2.500000000000000139e-02,-1.608122649676636601e-16,3.985352490443668655e-02
2.599999999999999881e-02,-6.279051952931317959e-02,-1.038598234281840928e-02
2.699999999999999969e-02,-1.253332335643041473e-01,-6.083999145294056304e-02
2.800000000000000058e-02,-1.873813145857246010e-01,-1.106462711595297271e-01
2.900000000000000147e-02,-2.486898871648548504e-01,-1.604459611385113393e-01
3.000000000000000236e-02,-3.090169943749473402e-01,-2.091483039877785610e-01
3.099999999999999978e-02,-3.681245526846779748e-01,-2.572109559909007692e-01
3.200000000000000067e-02,-4.257792915650727150e-01,-3.039716381090730168e-01
3.300000000000000155e-02,-4.817536741017154345e-01,-3.498531177980719886e-01
3.400000000000000244e-02,-5.358267949789964346e-01,-3.946541714922673916e-01
3.499999999999999639e-02,-5.877852522924730261e-01,-4.372946625554404165e-01
3.600000000000000422e-02,-6.374239897486897455e-01,-4.784095394991347838e-01
3.699999999999999817e-02,-6.845471059286883930e-01,-5.175827642510707483e-01
3.799999999999999906e-02,-7.289686274214116635e-01,-5.552456778271326332e-01
3.899999999999999994e-02,-7.705132427757891422e-01,-5.900649636937627118e-01
4.000000000000000083e-02,-8.090169943749476733e-01,-6.222915692876502813e-01
4.100000000000000172e-02,-8.443279255020150753e-01,-6.519314999258025711e-01
4.199999999999999567e-02,-8.763066800438634729e-01,-6.794263191023912629e-01
4.300000000000000350e-02,-9.048270524660195768e-01,-7.036777440298103148e-01
4.399999999999999745e-02,-9.297764858882513472e-01,-7.253714753442243035e-01
4.500000000000000527e-02,-9.510565162951536422e-01,-7.444650364414684418e-01
4.599999999999999922e-02,-9.685831611286310761e-01,-7.598995437372521033e-01
4.700000000000000011e-02,-9.822872507286886101e-01,-7.725360310836909550e-01
4.800000000000000100e-02,-9.921147013144778759e-01,-7.819793407315293043e-01
4.900000000000000189e-02,-9.980267284282715590e-01,-7.883917253840060368e-01
